*
Temp0 deg C	Temp1 deg C	Time (sec)
43.791974	21.276810	2.000000
44.089130	21.276810	4.000000
44.386180	21.276810	6.000000
44.534722	21.276810	8.000000
44.980174	21.276810	10.000000
44.980174	21.276810	12.000000
45.128612	21.276810	14.000000
44.831702	21.276810	16.000000
44.980174	21.276810	18.000000
45.128612	21.276810	20.000000
44.683230	21.276810	22.000000
44.386215	21.276810	24.000000
44.386215	21.276810	26.000000
44.386215	21.276810	28.000000
44.089130	21.276810	30.000000
44.089130	21.276810	32.000000
43.940552	21.276810	34.000000
43.791974	21.276810	36.000000
43.791974	21.276810	38.000000
43.791974	21.276810	40.000000
43.791974	21.276810	42.000000
43.791974	21.276810	44.000000
43.791974	21.276810	46.000000
43.791974	21.276810	48.000000
43.346097	21.276810	50.000000
42.453871	21.276810	52.000000
42.007519	21.276810	54.000000
41.709852	21.276810	56.000000
41.263201	21.276810	58.000000
40.965346	21.276810	60.000000
40.816399	21.276810	62.000000
40.518429	21.276810	64.000000
40.369406	21.276810	66.000000
40.220382	21.276810	68.000000
39.922259	21.276810	70.000000
39.922259	21.276810	72.000000
39.773158	21.276810	74.000000
39.624057	21.276810	76.000000
141.335962	21.276810	78.000000
249.520642	21.276810	80.000000
248.469592	21.276810	82.000000
247.568327	21.276810	84.000000
245.162970	21.276810	86.000000
245.464026	21.276810	88.000000
244.561606	21.276810	90.000000
243.357845	21.276810	92.000000
242.454625	21.276810	94.000000
241.551063	21.125123	96.000000
240.647162	21.276810	98.000000
239.592197	21.276810	100.000000
238.687566	21.276810	102.000000
237.782600	21.276810	104.000000
236.726375	21.276810	106.000000
235.820693	21.125123	108.000000
234.914685	21.276810	110.000000
234.008352	21.125123	112.000000
233.101697	21.125123	114.000000
232.194724	21.125123	116.000000
231.287434	21.125123	118.000000
230.379831	21.125123	120.000000
229.471919	20.973437	122.000000
228.563700	21.125123	124.000000
227.806632	21.125123	126.000000
227.049331	21.125123	128.000000
225.988793	21.125123	130.000000
225.231002	20.973437	132.000000
224.473033	21.125123	134.000000
223.563195	21.125123	136.000000
222.653076	20.973437	138.000000
221.894420	20.973437	140.000000
220.983797	20.973437	142.000000
220.224750	20.973437	144.000000
219.313639	20.973437	146.000000
218.554170	20.973437	148.000000
217.794545	20.973437	150.000000
217.034725	21.125123	152.000000
216.274754	20.973437	154.000000
215.514595	20.973437	156.000000
214.602198	20.973437	158.000000
213.841700	20.973437	160.000000
212.928882	20.973437	162.000000
212.320213	21.125123	164.000000
211.559233	20.973437	166.000000
210.798123	20.973437	168.000000
210.036852	20.973437	170.000000
209.275457	20.973437	172.000000
208.513909	20.973437	174.000000
207.752244	20.973437	176.000000
206.990435	20.973437	178.000000
206.228516	21.125123	180.000000
205.618886	20.973437	182.000000
204.856737	21.125123	184.000000
204.094487	20.973437	186.000000
203.484602	20.973437	188.000000
202.569647	20.973437	190.000000
201.959595	20.973437	192.000000
201.196937	20.973437	194.000000
200.434195	21.125123	196.000000
199.823933	20.973437	198.000000
199.213615	20.973437	200.000000
198.603244	20.973437	202.000000
197.840205	20.973437	204.000000
197.077100	20.973437	206.000000
196.466562	20.973437	208.000000
195.855981	20.973437	210.000000
194.940035	20.973437	212.000000
194.329358	20.973437	214.000000
193.718647	20.973437	216.000000
193.107903	20.973437	218.000000
192.497131	20.973437	220.000000
191.886331	20.973437	222.000000
191.275507	20.973437	224.000000
190.664661	20.973437	226.000000
189.748357	20.973437	228.000000
189.290189	20.973437	230.000000
188.526563	20.973437	232.000000
187.915649	20.973437	234.000000
187.304727	20.973437	236.000000
186.693799	20.973437	238.000000
186.082869	20.973437	240.000000
185.471938	20.973437	242.000000
184.861009	20.973437	244.000000
184.250085	20.973437	246.000000
183.639169	20.973437	248.000000
183.028262	20.973437	250.000000
182.417368	20.973437	252.000000
181.806490	20.973437	254.000000
181.195630	20.973437	256.000000
180.890207	20.973437	258.000000
180.126678	20.973437	260.000000
179.668575	20.973437	262.000000
179.057799	20.973437	264.000000
178.447053	20.973437	266.000000
177.836340	20.973437	268.000000
177.225662	20.973437	270.000000
176.615022	20.973437	272.000000
176.309717	20.973437	274.000000
175.699139	20.973437	276.000000
175.088607	20.973437	278.000000
174.478121	20.973437	280.000000
173.867686	20.973437	282.000000
173.409900	20.973437	284.000000
172.952134	20.973437	286.000000
172.341836	20.973437	288.000000
