*
Temp0 deg C	Temp1 deg C	Time (sec)
299.364497	21.198159	2.000000
297.597456	21.198159	4.000000
295.534660	21.198159	6.000000
293.617945	21.198159	8.000000
291.700058	21.198159	10.000000
289.928565	21.198159	12.000000
287.860440	21.198159	14.000000
286.086548	21.198159	16.000000
284.311511	21.198159	18.000000
282.831423	21.198159	20.000000
281.054229	21.198159	22.000000
279.572313	21.198159	24.000000
277.792889	21.046463	26.000000
276.309086	21.198159	28.000000
274.824406	21.046463	30.000000
273.338840	21.198159	32.000000
271.852377	21.198159	34.000000
270.365007	21.046463	36.000000
268.876722	21.046463	38.000000
267.536499	20.894766	40.000000
266.046451	21.198159	42.000000
264.704582	21.046463	44.000000
263.361996	21.198159	46.000000
262.018592	21.046463	48.000000
260.674463	21.198159	50.000000
259.329509	21.046463	52.000000
257.983824	21.046463	54.000000
256.786981	20.894766	56.000000
255.589519	20.894766	58.000000
254.241608	20.894766	60.000000
253.192733	20.894766	62.000000
251.843426	21.046463	64.000000
250.493380	20.894766	66.000000
249.292660	21.046463	68.000000
248.091319	21.046463	70.000000
247.189908	20.894766	72.000000
245.686786	20.894766	74.000000
244.784452	20.894766	76.000000
243.580804	20.894766	78.000000
242.376547	20.894766	80.000000
241.322338	20.894766	82.000000
240.267640	20.894766	84.000000
239.061724	20.894766	86.000000
238.006074	20.894766	88.000000
236.949943	20.894766	90.000000
235.893391	20.894766	92.000000
234.836366	20.894766	94.000000
233.778928	20.894766	96.000000
232.721025	20.894766	98.000000
231.662716	20.894766	100.000000
230.755243	20.894766	102.000000
229.847458	20.894766	104.000000
229.242097	21.046463	106.000000
228.939365	20.894766	108.000000
228.787991	21.046463	110.000000
228.636600	21.046463	112.000000
228.485209	21.046463	114.000000
228.485209	21.198159	116.000000
228.485209	21.046463	118.000000
228.485209	20.894766	120.000000
228.182393	21.046463	122.000000
228.030969	21.198159	124.000000
227.879544	21.198159	126.000000
227.576661	21.198159	128.000000
227.425203	21.198159	130.000000
227.122271	21.198159	132.000000
226.667814	21.198159	134.000000
226.213276	21.198159	136.000000
225.910212	21.198159	138.000000
225.607116	21.198159	140.000000
225.152416	21.046463	142.000000
224.697635	21.046463	144.000000
224.394411	21.198159	146.000000
224.091155	21.046463	148.000000
223.484548	21.198159	150.000000
223.181198	21.198159	152.000000
222.877817	21.198159	154.000000
222.422691	21.198159	156.000000
221.967489	21.198159	158.000000
221.663985	21.198159	160.000000
221.208677	21.198159	162.000000
220.905098	21.198159	164.000000
220.449670	21.198159	166.000000
220.146017	21.046463	168.000000
219.842334	21.198159	170.000000
219.538623	21.198159	172.000000
219.234882	21.198159	174.000000
218.931113	21.198159	176.000000
218.475409	21.198159	178.000000
218.323489	21.046463	180.000000
218.019635	21.198159	182.000000
217.715752	21.198159	184.000000
217.411842	21.198159	186.000000
217.107904	21.198159	188.000000
216.803938	21.198159	190.000000
216.499945	21.198159	192.000000
216.195925	21.198159	194.000000
215.891879	21.198159	196.000000
215.587805	21.198159	198.000000
215.283706	21.198159	200.000000
214.827510	21.198159	202.000000
214.371250	21.198159	204.000000
214.067046	21.198159	206.000000
