*
Temp0 deg C	Temp1 deg C	Time (sec)
148.242949	21.209930	370.000000
147.940028	21.209930	372.000000
147.637147	21.058235	374.000000
147.182895	21.209930	376.000000
146.880114	21.209930	378.000000
146.577374	21.209930	380.000000
146.274674	21.209930	382.000000
145.972016	21.209930	384.000000
145.669398	21.209930	386.000000
145.366823	21.058235	388.000000
145.064289	21.209930	390.000000
144.761797	21.058235	392.000000
144.610572	21.058235	394.000000
144.459347	21.209930	396.000000
144.156940	20.906540	398.000000
143.854575	20.906540	400.000000
143.854575	20.906540	402.000000
143.552254	21.058235	404.000000
143.249976	21.209930	406.000000
143.249976	21.209930	408.000000
143.098858	20.906540	410.000000
142.947741	20.906540	412.000000
142.796645	20.906540	414.000000
142.645549	20.906540	416.000000
142.645549	21.209930	418.000000
142.494475	21.209930	420.000000
142.343402	21.209930	422.000000
142.343402	21.209930	424.000000
142.192350	21.209930	426.000000
142.041298	21.209930	428.000000
142.041298	21.209930	430.000000
142.041298	21.209930	432.000000
142.041298	21.209930	434.000000
142.041298	21.209930	436.000000
141.739239	21.058235	438.000000
141.739239	21.058235	440.000000
141.739239	20.906540	442.000000
141.588231	21.058235	444.000000
141.588231	20.906540	446.000000
141.437224	21.209930	448.000000
141.286239	21.058235	450.000000
141.286239	21.058235	452.000000
141.135254	21.058235	454.000000
141.135254	21.209930	456.000000
141.135254	21.058235	458.000000
140.833329	21.058235	460.000000
140.833329	21.209930	462.000000
140.833329	21.209930	464.000000
140.833329	21.209930	466.000000
140.531449	21.209930	468.000000
140.229614	20.906540	470.000000
140.229614	20.906540	472.000000
140.229614	20.906540	474.000000
139.927825	20.906540	476.000000
139.776953	21.058235	478.000000
139.626081	21.058235	480.000000
139.475232	20.906540	482.000000
139.324383	20.906540	484.000000
139.324383	20.906540	486.000000
139.022732	21.209930	488.000000
139.022732	21.209930	490.000000
138.871929	21.209930	492.000000
138.721126	21.209930	494.000000
138.570347	21.209930	496.000000
138.419568	21.209930	498.000000
138.118055	20.906540	500.000000
138.118055	20.906540	502.000000
137.967323	20.906540	504.000000
137.816590	21.058235	506.000000
137.515172	20.906540	508.000000
137.515172	20.906540	510.000000
137.213800	20.906540	512.000000
137.213800	21.058235	514.000000
136.912476	21.058235	516.000000
136.761838	21.058235	518.000000
136.611200	20.906540	520.000000
136.611200	20.906540	522.000000
136.309972	20.906540	524.000000
136.309972	20.906540	526.000000
136.008791	21.209930	528.000000
135.858224	21.058235	530.000000
135.707658	21.058235	532.000000
135.707658	21.209930	534.000000
135.406574	21.209930	536.000000
135.406574	21.209930	538.000000
135.256056	21.209930	540.000000
135.105537	21.209930	542.000000
135.105537	21.209930	544.000000
134.804550	21.209930	546.000000
134.804550	21.209930	548.000000
134.804550	21.209930	550.000000
134.654080	21.209930	552.000000
134.654080	21.209930	554.000000
134.503611	21.209930	556.000000
134.503611	21.209930	558.000000
134.503611	21.209930	560.000000
134.353166	21.209930	562.000000
134.353166	21.209930	564.000000
134.202720	21.209930	566.000000
134.202720	21.209930	568.000000
134.202720	21.209930	570.000000
134.353166	21.361585	572.000000
134.503611	21.361585	574.000000
134.503611	21.361585	576.000000
134.353166	21.209930	578.000000
134.353166	21.209930	580.000000
134.503611	21.209930	582.000000
134.503611	21.209930	584.000000
134.503611	21.209930	586.000000
134.503611	21.209930	588.000000
134.503611	21.209930	590.000000
134.503611	21.209930	592.000000
134.503611	21.209930	594.000000
134.503611	21.209930	596.000000
134.503611	21.209930	598.000000
134.503611	21.209930	600.000000
134.503611	21.209930	602.000000
134.503611	21.361585	604.000000
134.503611	21.361585	606.000000
134.503611	21.513240	608.000000
134.503611	21.513240	610.000000
134.503611	21.513240	612.000000
134.503611	21.513240	614.000000
134.503611	21.513240	616.000000
134.503611	21.209930	618.000000
134.503611	21.209930	620.000000
134.503611	21.209930	622.000000
134.503611	21.209930	624.000000
134.503611	21.209930	626.000000
134.503611	21.209930	628.000000
134.503611	21.209930	630.000000
134.202720	21.209930	632.000000
134.202720	21.209930	634.000000
134.503611	21.361585	636.000000
134.353166	21.209930	638.000000
134.503611	21.209930	640.000000
134.202720	21.209930	642.000000
134.202720	21.209930	644.000000
134.202720	21.209930	646.000000
134.202720	21.209930	648.000000
134.202720	21.209930	650.000000
134.202720	21.209930	652.000000
134.202720	21.209930	654.000000
134.202720	21.209930	656.000000
134.202720	21.209930	658.000000
134.202720	21.209930	660.000000
134.202720	21.209930	662.000000
134.202720	21.058235	664.000000
134.202720	20.906540	666.000000
134.202720	20.906540	668.000000
134.202720	21.209930	670.000000
134.202720	21.209930	672.000000
134.052300	21.209930	674.000000
134.052300	21.209930	676.000000
134.202720	21.209930	678.000000
134.202720	21.209930	680.000000
134.202720	21.209930	682.000000
134.202720	21.209930	684.000000
134.202720	21.209930	686.000000
134.202720	21.209930	688.000000
134.202720	21.209930	690.000000
134.202720	21.209930	692.000000
134.052300	21.058235	694.000000
134.052300	21.058235	696.000000
134.202720	20.906540	698.000000
134.052300	21.058235	700.000000
134.202720	20.906540	702.000000
134.202720	20.906540	704.000000
134.202720	20.906540	706.000000
134.202720	20.906540	708.000000
134.202720	20.906540	710.000000
134.202720	20.906540	712.000000
134.202720	20.906540	714.000000
134.202720	21.058235	716.000000
134.202720	21.209930	718.000000
134.202720	20.906540	720.000000
134.202720	21.058235	722.000000
134.202720	21.209930	724.000000
134.052300	20.906540	726.000000
134.202720	20.906540	728.000000
134.202720	20.906540	730.000000
134.202720	21.058235	732.000000
134.052300	21.058235	734.000000
134.202720	20.906540	736.000000
134.202720	20.906540	738.000000
134.202720	21.209930	740.000000
134.202720	21.209930	742.000000
134.052300	21.058235	744.000000
134.202720	21.209930	746.000000
133.901879	21.209930	748.000000
133.901879	21.209930	750.000000
