System ID,,"4483C11302J"
Method name only,,"Tension_Flat_Weld_NEW"
Test type,,"Tension"
Sample file name,,"N02-C-1018-Cham"
Last test date,,"Monday, November 4, 2024"
Last test time,,"5:24:15 PM"
Course,,"NPRE 432"
Lab Section Number,,"02"
Group,,"C"
Material,,"1018"
Weld Type,,"Chamfer"
Other Information,,""
Crosshead Speed,(mm/min),"4.00"
Geometry,,"Rectangular"
Width of Specimen and Weld w,(mm),"17.49"
Specimen Thickness t,(mm),"9.44"
Weld Thickness tw,(mm),"13.59"
Specimen Gage Length,(mm),"59.86"
Fracture Type and Location,,"One sided break at weld"
Unwelded Gap Thickness tg (mm),,"2.13"
Notes During Test,,""

Results Table 1
,,"1"
Maximum Force,(kN),"86.38"

Time,Displacement,Force
(s),(mm),(kN)
"99.50","6.63","76.41"
"100.00","6.66","76.67"
"100.50","6.70","76.93"
"101.00","6.73","77.19"
"101.50","6.76","77.44"
"102.00","6.80","77.68"
"102.50","6.83","77.91"
"103.00","6.86","78.14"
"103.50","6.90","78.34"
"104.00","6.93","78.53"
"104.50","6.96","78.71"
"105.00","7.00","78.86"
"105.50","7.03","79.03"
"106.00","7.06","79.23"
"106.50","7.10","79.41"
"107.00","7.13","79.60"
"107.50","7.16","79.78"
"108.00","7.20","79.95"
"108.50","7.23","80.13"
"109.00","7.26","80.29"
"109.50","7.30","80.45"
"110.00","7.33","80.62"
"110.50","7.36","80.79"
"111.00","7.40","80.96"
"111.50","7.43","81.13"
"112.00","7.46","81.29"
"112.50","7.50","81.44"
"113.00","7.53","81.60"
"113.50","7.56","81.73"
"114.00","7.60","81.85"
"114.50","7.63","81.97"
"115.00","7.66","82.09"
"115.50","7.70","82.22"
"116.00","7.73","82.36"
"116.50","7.76","82.50"
"117.00","7.80","82.64"
"117.50","7.83","82.77"
"118.00","7.86","82.89"
"118.50","7.90","83.02"
"119.00","7.93","83.15"
"119.50","7.96","83.27"
"120.00","8.00","83.39"
"120.50","8.03","83.51"
"121.00","8.06","83.62"
"121.50","8.10","83.74"
"122.00","8.13","83.85"
"122.50","8.16","83.96"
"123.00","8.20","84.07"
"123.50","8.23","84.17"
"124.00","8.26","84.28"
"124.50","8.30","84.38"
"125.00","8.33","84.47"
"125.50","8.36","84.58"
"126.00","8.40","84.67"
"126.50","8.43","84.76"
"127.00","8.46","84.85"
"127.50","8.50","84.93"
"128.00","8.53","85.02"
"128.50","8.56","85.10"
"129.00","8.60","85.18"
"129.50","8.63","85.26"
"130.00","8.66","85.34"
"130.50","8.70","85.40"
"131.00","8.73","85.47"
"131.50","8.76","85.55"
"132.00","8.80","85.61"
"132.50","8.83","85.67"
"133.00","8.86","85.74"
"133.50","8.90","85.79"
"134.00","8.93","85.85"
"134.50","8.96","85.91"
"135.00","9.00","85.95"
"135.50","9.03","86.01"
"136.00","9.06","86.06"
"136.50","9.10","86.10"
"137.00","9.13","86.14"
"137.50","9.16","86.18"
"138.00","9.20","86.22"
"138.50","9.23","86.25"
"139.00","9.26","86.27"
"139.50","9.30","86.30"
"140.00","9.33","86.33"
"140.50","9.36","86.35"
"141.00","9.40","86.35"
"141.50","9.43","86.37"
"142.00","9.46","86.37"
"142.50","9.50","86.38"
"143.00","9.53","86.37"
"143.50","9.56","86.36"
"144.00","9.60","86.36"
"144.50","9.63","86.34"
"145.00","9.66","86.32"
"145.50","9.70","86.29"
"146.00","9.73","86.27"
"146.50","9.76","86.23"
"147.00","9.80","86.19"
"147.50","9.83","86.15"
"148.00","9.86","86.09"
"148.50","9.90","86.04"
"149.00","9.93","85.97"
"149.50","9.96","85.89"
"150.00","10.00","85.81"
"150.50","10.03","85.68"
"151.00","10.06","85.48"
"151.50","10.10","85.05"
"152.00","10.13","83.51"
"152.50","10.16","-0.09095"
"153.00","10.20","-0.08623"
"153.50","10.23","-0.08222"
"154.00","10.26","-0.07761"
"154.50","10.30","-0.07464"
"155.00","10.33","-0.07178"
"155.50","10.36","-0.06914"
"155.63","10.37","-0.06851"

