System ID,,"4483C1713"
Method name only,,"Compression_Cylindrical_Plastic_NEW"
Test type,,"Compression"
Sample file name,,"N02DPMMA"
Last test date,,"Monday, September 9, 2024"
Last test time,,"6:04:21 PM"
Course,,"NPRE 432"
Lab Section Number,,"02"
Group,,"D"
Material,,"PMMA"
Other Information,,""
Crosshead Speed,(mm/min),"5.00"
Geometry,,"Circular"
Diameter,(mm),"19.16"
Length,(mm),"65.17"
Final Diameter,,"0.00"
Final Length,,"0.00"
Final Specimen State,,"BARRELED, BUCKLED, CRACKED INTO MANY PIECES"
Notes During Test,,""

Results Table 1
,,"1"
Maximum Force,(kN),"33.30"
Maximum Strain,(%),"48.02"
,,
,,
,,
,,
Time,Displacement,Force,Compressive strain (Displacement)
(s),(mm),(kN),(mm/mm)
"63.00","5.25","32.95","0.08056"
"63.50","5.29","32.98","0.08120"
"64.00","5.33","33.01","0.08184"
"64.50","5.38","33.04","0.08248"
"65.00","5.42","33.05","0.08312"
"65.50","5.46","33.08","0.08376"
"66.00","5.50","33.10","0.08440"
"66.50","5.54","33.12","0.08504"
"67.00","5.58","33.13","0.08568"
"67.50","5.63","33.15","0.08631"
"68.00","5.67","33.16","0.08695"
"68.50","5.71","33.18","0.08759"
"69.00","5.75","33.19","0.08823"
"69.50","5.79","33.20","0.08887"
"70.00","5.83","33.21","0.08951"
"70.50","5.88","33.22","0.09015"
"71.00","5.92","33.23","0.09079"
"71.50","5.96","33.24","0.09143"
"72.00","6.00","33.25","0.09207"
"72.50","6.04","33.25","0.09271"
"73.00","6.08","33.27","0.09335"
"73.50","6.13","33.27","0.09399"
"74.00","6.17","33.28","0.09463"
"74.50","6.21","33.28","0.09527"
"75.00","6.25","33.29","0.09590"
"75.50","6.29","33.29","0.09655"
"76.00","6.33","33.29","0.09718"
"76.50","6.38","33.30","0.09782"
"77.00","6.42","33.30","0.09846"
"77.50","6.46","33.30","0.09910"
"78.00","6.50","33.30","0.09974"
"78.50","6.54","33.30","0.1004"
"79.00","6.58","33.30","0.1010"
"79.50","6.63","33.29","0.1017"
"80.00","6.67","33.29","0.1023"
"80.50","6.71","33.29","0.1029"
"81.00","6.75","33.28","0.1036"
"81.50","6.79","33.28","0.1042"
"82.00","6.83","33.27","0.1049"
"82.50","6.88","33.27","0.1055"
"83.00","6.92","33.26","0.1061"
"83.50","6.96","33.25","0.1068"
"84.00","7.00","33.24","0.1074"
