System ID,,"4483C1713"
Method name only,,"Tension_Round_NEW"
Test type,,"Tension"
Sample file name,,"N02D304"
Last test date,,"Monday, September 16, 2024"
Last test time,,"5:19:06 PM"
Course,,"NPRE 432"
Lab Section Number,,"02"
Group,,"D"
Material,,"304"
Heat Treatment,,""
Other Information,,""
Crosshead Speed,(mm/min),"4.00"
Geometry,,"Circular"
Gage Diameter,(mm),"7.20"
Grip Diameter,(mm),"12.88"
Rockwell Hardness,,"100.6"
Rockwell Scale,,"HRB"
Extensometer Gage Length,(mm),"25.40"
Final Gage Diameter,(mm),"3.87"
Fracture Notes and Location,,"VERY DUCTILE CUP CONE STRUCTURE. SAMPLE BECAME MAGNETIC AT FAIL SURFACE WHERE IT WASN'T BEFORE"
Notes During Test,,""

Results Table 1
,,"1"
Maximum Force,(kN),"28.78"
Maximum Strain,(%),"50.26"

Time,Displacement,Force,Strain 1
(s),(mm),(kN),(mm/mm)
"69.00","4.60","24.23","0.02733"
"69.50","4.63","24.26","0.02800"
"70.00","4.67","24.28","0.02867"
"70.50","4.70","24.31","0.02930"
"71.00","4.73","24.33","0.02995"
"71.50","4.77","24.35","0.03059"
"72.00","4.80","24.38","0.03125"
"72.50","4.83","24.40","0.03191"
"73.00","4.87","24.43","0.03256"
"73.50","4.90","24.45","0.03321"
"74.00","4.93","24.48","0.03387"
"74.50","4.97","24.49","0.03449"
"75.00","5.00","24.52","0.03515"
"75.50","5.03","24.54","0.03580"
"76.00","5.07","24.56","0.03645"
"76.50","5.10","24.59","0.03710"
"77.00","5.13","24.61","0.03773"
"77.50","5.17","24.63","0.03838"
"78.00","5.20","24.65","0.03903"
"78.50","5.23","24.67","0.03967"
"79.00","5.27","24.69","0.04032"
"79.50","5.30","24.72","0.04093"
"80.00","5.33","24.73","0.04157"
"80.50","5.37","24.75","0.04221"
"81.00","5.40","24.77","0.04284"
"81.50","5.43","24.79","0.04348"
"82.00","5.47","24.82","0.04412"
"82.50","5.50","24.84","0.04478"
"83.00","5.53","24.85","0.04540"
"83.50","5.57","24.87","0.04604"
"84.00","5.60","24.90","0.04668"
"84.50","5.63","24.91","0.04731"
"85.00","5.67","24.93","0.04795"
"85.50","5.70","24.95","0.04858"
"86.00","5.73","24.97","0.04921"
"86.50","5.77","24.99","0.04986"
"87.00","5.80","25.01","0.05049"
"87.50","5.83","25.03","0.05113"
"88.00","5.87","25.05","0.05175"
"88.50","5.90","25.06","0.05241"
"89.00","5.93","25.09","0.05302"
"89.50","5.97","25.11","0.05365"
"90.00","6.00","25.12","0.05425"
"90.50","6.03","25.15","0.05487"
"91.00","6.07","25.17","0.05551"
"91.50","6.10","25.18","0.05615"
"92.00","6.13","25.20","0.05678"
"92.50","6.17","25.22","0.05741"
"93.00","6.20","25.23","0.05803"
"93.50","6.23","25.26","0.05867"
"94.00","6.27","25.28","0.05930"
"94.50","6.30","25.29","0.05993"
"95.00","6.33","25.32","0.06057"
"95.50","6.37","25.33","0.06119"
"96.00","6.40","25.35","0.06181"
"96.50","6.43","25.37","0.06243"
"97.00","6.47","25.39","0.06308"
"97.50","6.50","25.41","0.06370"
"98.00","6.53","25.42","0.06431"
"98.50","6.57","25.44","0.06494"
"99.00","6.60","25.46","0.06557"
"99.50","6.63","25.48","0.06618"
"100.00","6.67","25.49","0.06680"
"100.50","6.70","25.51","0.06744"
"101.00","6.73","25.53","0.06806"
"101.50","6.77","25.54","0.06870"
"102.00","6.80","25.56","0.06931"
"102.50","6.83","25.58","0.06992"
"103.00","6.87","25.59","0.07055"
"103.50","6.90","25.61","0.07117"
