[N02-AB-HDPE-RT]
[Specimen: 1]
[Channel: 1]

[Calculated Data]

Point ID,Time [ms],Force [N],Energy [J],Displacement [mm],Velocity [m/s],Voltage Ch1 [mV]
85,5.400000,605.358934,1.371503,6.876372,4.059281,47.626334
86,5.420000,607.417978,1.420722,6.957540,4.057521,47.697792
87,5.440000,617.713198,1.470421,7.038673,4.055742,48.055078
88,5.460000,632.126506,1.521100,7.119770,4.053923,48.555280
89,5.480000,654.775990,1.573257,7.200829,4.052044,49.341311
90,5.500000,656.835034,1.626392,7.281851,4.050125,49.412768
91,5.520000,665.071210,1.679918,7.362834,4.048190,49.698598
92,5.540000,681.543562,1.734418,7.443778,4.046215,50.270257
93,5.560000,698.015913,1.790224,7.524682,4.044187,50.841916
94,5.580000,710.370177,1.847167,7.605545,4.042112,51.270660
95,5.600000,728.901573,1.905328,7.686366,4.039987,51.913776
96,5.620000,745.373925,1.964873,7.767144,4.037806,52.485435
97,5.640000,745.373925,2.025050,7.847878,4.035599,52.485435
98,5.660000,761.846277,2.085858,7.928568,4.033365,53.057094
99,5.680000,778.318629,2.147961,8.009212,4.031078,53.628753
100,5.700000,786.554805,2.211024,8.089810,4.028751,53.914582
101,5.720000,798.909069,2.274879,8.170362,4.026390,54.343327
102,5.740000,815.381421,2.339857,8.250866,4.023984,54.914986
103,5.760000,817.440465,2.405542,8.331321,4.021547,54.986443
104,5.780000,831.853773,2.471848,8.411727,4.019084,55.486644
105,5.800000,842.148993,2.539107,8.492084,4.016581,55.843931
106,5.820000,868.916565,2.607811,8.572390,4.014018,56.772877
107,5.840000,889.507005,2.678371,8.652644,4.011379,57.487451
108,5.860000,899.802225,2.750123,8.732845,4.008690,57.844738
109,5.880000,910.097445,2.822651,8.812991,4.005968,58.202024
110,5.900000,924.510753,2.896119,8.893083,4.003206,58.702226
111,5.920000,949.219280,2.971102,8.973119,4.000381,59.559714
112,5.940000,963.632588,3.047595,9.053097,3.997493,60.059916
113,5.960000,986.282072,3.125514,9.133018,3.994545,60.845947
114,5.980000,992.459204,3.204526,9.212879,3.991551,61.060319
115,6.000000,1010.990600,3.284464,9.292679,3.988516,61.703435
116,6.020000,1023.344864,3.365572,9.372419,3.985432,62.132179
117,6.040000,1039.817216,3.447766,9.452096,3.982302,62.703838
118,6.060000,1058.348612,3.531287,9.531710,3.979115,63.346955
119,6.080000,1068.643832,3.615888,9.611260,3.975882,63.704242
120,6.100000,1078.939052,3.701238,9.690745,3.972615,64.061528
121,6.120000,1099.529492,3.787744,9.770165,3.969299,64.776102
122,6.140000,1113.942800,3.875566,9.849517,3.965926,65.276304
123,6.160000,1136.592284,3.964781,9.928801,3.962493,66.062335
124,6.180000,1157.182724,4.055631,10.008016,3.958991,66.776908
125,6.200000,1171.596032,4.147786,10.087160,3.955432,67.277110
126,6.220000,1181.891252,4.240834,10.166233,3.951834,67.634397
127,6.240000,1210.717868,4.335342,10.245233,3.948172,68.634800
128,6.260000,1231.308307,4.431711,10.324159,3.944431,69.349373
129,6.280000,1241.603527,4.529206,10.403009,3.940639,69.706660
130,6.300000,1258.075879,4.627661,10.481784,3.936805,70.278319
131,6.320000,1268.371099,4.727073,10.560481,3.932928,70.635606
132,6.340000,1291.020583,4.827682,10.639101,3.928997,71.421637
133,6.360000,1301.315803,4.929483,10.717641,3.925013,71.778924
134,6.380000,1309.551979,5.031907,10.796101,3.921000,72.064753
135,6.400000,1344.555727,5.135920,10.874480,3.916916,73.279529
136,6.420000,1356.909991,5.241677,10.952777,3.912757,73.708273
137,6.440000,1373.382343,5.348449,11.030990,3.908551,74.279932
138,6.460000,1393.972783,5.456553,11.109118,3.904285,74.994505
139,6.480000,1414.563223,5.566145,11.187160,3.899952,75.709079
140,6.500000,1428.976531,5.676979,11.265116,3.895564,76.209281
141,6.520000,1455.744103,5.789290,11.342982,3.891109,77.138226
142,6.540000,1470.157411,5.903074,11.420759,3.886587,77.638428
143,6.560000,1482.511674,6.017764,11.498445,3.882022,78.067172
144,6.580000,1507.220202,6.133757,11.576040,3.877398,78.924660
145,6.600000,1529.869686,6.251445,11.653541,3.872697,79.710691
146,6.620000,1531.928730,6.369946,11.730947,3.867956,79.782149
147,6.640000,1560.755346,6.489495,11.808258,3.863166,80.782552
148,6.660000,1568.991522,6.610327,11.885473,3.858316,81.068381
149,6.680000,1593.700050,6.732275,11.962590,3.853412,81.925870
150,6.700000,1608.113358,6.855574,12.039609,3.848446,82.426071
151,6.720000,1626.644754,6.979980,12.116528,3.843426,83.069188
152,6.740000,1647.235194,7.105726,12.193345,3.838344,83.783761
153,6.760000,1663.707546,7.232726,12.270061,3.833201,84.355420
154,6.780000,1678.120854,7.360738,12.346673,3.828009,84.855622
155,6.800000,1696.652250,7.489835,12.423181,3.822764,85.498738
156,6.820000,1711.065558,7.620014,12.499583,3.817466,85.998940
157,6.840000,1725.478866,7.751110,12.575879,3.812121,86.499141
158,6.860000,1739.892174,7.883121,12.652067,3.806729,86.999343
159,6.880000,1768.718789,8.016587,12.728147,3.801268,87.999746
160,6.900000,1770.777833,8.151036,12.804118,3.795757,88.071203
161,6.920000,1791.368273,8.286147,12.879977,3.790210,88.785777
162,6.940000,1820.194889,8.422930,12.955725,3.784583,89.786180
163,6.960000,1828.431065,8.560911,13.031360,3.778896,90.072009
164,6.980000,1846.962461,8.699695,13.106881,3.773166,90.715126
165,7.000000,1859.316725,8.839431,13.182286,3.767386,91.143870
166,7.020000,1879.907165,8.980193,13.257576,3.761553,91.858444
167,7.040000,1898.438561,9.122205,13.332748,3.755657,92.501560
168,7.060000,1912.851869,9.265230,13.407801,3.749708,93.001761
169,7.080000,1927.265177,9.409108,13.482735,3.743712,93.501963
170,7.100000,1939.619441,9.553756,13.557549,3.737674,93.930707
171,7.120000,1949.914661,9.699016,13.632242,3.731598,94.287994
172,7.140000,1962.268925,9.844883,13.706813,3.725487,94.716738
173,7.160000,1980.800321,9.991659,13.781261,3.719325,95.359855
174,7.180000,1995.213629,10.139416,13.855585,3.713110,95.860056
175,7.200000,2013.745024,10.288147,13.929785,3.706842,96.503172
176,7.220000,2021.981200,10.437617,14.003859,3.700531,96.789002
177,7.240000,2042.571640,10.587897,14.077806,3.694174,97.503575
178,7.260000,2052.866860,10.739059,14.151625,3.687767,97.860862
179,7.280000,2073.457300,10.891094,14.225316,3.681310,98.575436
180,7.300000,2083.752520,11.043998,14.298877,3.674803,98.932723
181,7.320000,2094.047740,11.197387,14.372308,3.668263,99.290010
182,7.340000,2110.520092,11.351483,14.445607,3.661679,99.861669
183,7.360000,2131.110532,11.506656,14.518774,3.655036,100.576242
184,7.380000,2145.523840,11.662825,14.591808,3.648337,101.076444
185,7.400000,2149.641928,11.819382,14.664707,3.641608,101.219358
186,7.420000,2164.055236,11.976324,14.737472,3.634848,101.719560
187,7.440000,2170.232368,12.133721,14.810101,3.628056,101.933932
188,7.460000,2180.527588,12.291421,14.882594,3.621237,102.291219
189,7.480000,2196.999940,12.449790,14.954950,3.614375,102.862878
190,7.500000,2209.354204,12.608900,15.027168,3.607466,103.291622
191,7.520000,2221.708468,12.768595,15.099248,3.600518,103.720366
192,7.540000,2242.298908,12.929165,15.171189,3.593516,104.434940
193,7.560000,2240.239864,13.090088,15.242989,3.586485,104.363483
194,7.580000,2250.535084,13.250991,15.314648,3.579440,104.720769
195,7.600000,2273.184567,13.412753,15.386166,3.572342,105.506800
196,7.620000,2287.597875,13.575516,15.457541,3.565185,106.007002
197,7.640000,2297.893095,13.738832,15.528773,3.557987,106.364289
198,7.660000,2306.129271,13.902476,15.599860,3.550760,106.650118
199,7.680000,2318.483535,14.066517,15.670803,3.543500,107.078862
200,7.700000,2322.601623,14.230804,15.741600,3.536212,107.221777
201,7.720000,2339.073975,14.395480,15.812251,3.528892,107.793436
202,7.740000,2347.310151,14.560684,15.882755,3.521532,108.079266
203,7.760000,2355.546327,14.726123,15.953112,3.514145,108.365095
204,7.780000,2361.723459,14.891720,16.023321,3.506735,108.579467
205,7.800000,2372.018679,15.057543,16.093381,3.499299,108.936754
206,7.820000,2380.254855,15.223662,16.163292,3.491833,109.222583
207,7.840000,2396.727207,15.390286,16.233054,3.484326,109.794242
208,7.860000,2407.022427,15.557483,16.302665,3.476777,110.151529
209,7.880000,2407.022427,15.724674,16.372125,3.469211,110.151529
210,7.900000,2423.494779,15.892071,16.441433,3.461619,110.723188
211,7.920000,2413.199559,16.059315,16.510590,3.454016,110.365901
212,7.940000,2427.612867,16.226333,16.579594,3.446407,110.866103
213,7.960000,2442.026175,16.393974,16.648445,3.438751,111.366304
214,7.980000,2448.203307,16.561948,16.717144,3.431063,111.580677
215,8.000000,2450.262351,16.729829,16.785688,3.423361,111.652134
216,8.020000,2454.380439,16.897543,16.854078,3.415649,111.795049
217,8.040000,2466.734703,17.065440,16.922313,3.407910,112.223793
218,8.060000,2481.148011,17.233867,16.990394,3.400128,112.723994
219,8.080000,2481.148011,17.402398,17.058318,3.392323,112.723994
220,8.100000,2489.384187,17.570819,17.126087,3.384505,113.009824
221,8.120000,2493.502275,17.739270,17.193698,3.376667,113.152739
222,8.140000,2491.443231,17.907400,17.261153,3.368825,113.081281
223,8.160000,2505.856539,18.075553,17.328451,3.360964,113.581483
224,8.180000,2503.797495,18.243728,17.395592,3.353082,113.510025
225,8.200000,2512.033671,18.411715,17.462574,3.345191,113.795855
226,8.220000,2512.033671,18.579581,17.529399,3.337287,113.795855
227,8.240000,2516.151759,18.747187,17.596066,3.329375,113.938770
228,8.260000,2524.387935,18.914805,17.662574,3.321444,114.224599
229,8.280000,2530.565067,19.082501,17.728923,3.313490,114.438971
230,8.300000,2528.506023,19.249932,17.795114,3.305529,114.367514
231,8.320000,2528.506023,19.416892,17.861145,3.297571,114.367514
232,8.340000,2530.565067,19.583517,17.927016,3.289610,114.438971
233,8.360000,2540.860286,19.750144,17.992729,3.281629,114.796258
234,8.380000,2547.037418,19.916906,18.058281,3.273622,115.010630
235,8.400000,2553.214550,20.083664,18.123673,3.265594,115.225002
236,8.420000,2557.332638,20.250348,18.188905,3.257550,115.367917
237,8.440000,2557.332638,20.416755,18.253975,3.249499,115.367917
238,8.460000,2555.273594,20.582683,18.318885,3.241452,115.296460
239,8.480000,2544.978374,20.747801,18.383634,3.233425,114.939173
240,8.500000,2555.273594,20.912509,18.448222,3.225397,115.296460
241,8.520000,2559.391682,21.077271,18.512649,3.217347,115.439374
242,8.540000,2557.332638,21.241688,18.576916,3.209293,115.367917
243,8.560000,2561.450726,21.405758,18.641021,3.201235,115.510832
244,8.580000,2563.509770,21.569614,18.704965,3.193168,115.582289
245,8.600000,2561.450726,21.733056,18.768748,3.185101,115.510832
246,8.620000,2549.096462,21.895627,18.832369,3.177057,115.082087
247,8.640000,2555.273594,22.057590,18.895830,3.169023,115.296460
248,8.660000,2547.037418,22.219079,18.959130,3.160992,115.010630
249,8.680000,2544.978374,22.379833,19.022270,3.152978,114.939173
250,8.700000,2549.096462,22.540244,19.085249,3.144960,115.082087
251,8.720000,2544.978374,22.700246,19.148068,3.136943,114.939173
252,8.740000,2544.978374,22.859712,19.210727,3.128932,114.939173
253,8.760000,2540.860286,23.018641,19.273226,3.120928,114.796258
254,8.780000,2542.919330,23.177098,19.335564,3.112927,114.867715
255,8.800000,2538.801242,23.335086,19.397743,3.104929,114.724801
256,8.820000,2540.860286,23.492602,19.459761,3.096935,114.796258
257,8.840000,2534.683154,23.649586,19.521620,3.088948,114.581886
258,8.860000,2534.683154,23.805974,19.583319,3.080970,114.581886
259,8.880000,2534.683154,23.961957,19.644859,3.072992,114.581886
260,8.900000,2530.565067,24.117410,19.706239,3.065021,114.438971
261,8.920000,2526.446979,24.272208,19.767460,3.057064,114.296056
262,8.940000,2522.328891,24.426352,19.828522,3.049119,114.153142
263,8.960000,2516.151759,24.579782,19.889425,3.041191,113.938770
264,8.980000,2505.856539,24.732312,19.950170,3.033290,113.581483
265,9.000000,2491.443231,24.883699,20.010757,3.025429,113.081281
266,9.020000,2495.561319,25.034382,20.071187,3.017584,113.224196
267,9.040000,2499.679407,25.184921,20.131460,3.009726,113.367111
268,9.060000,2487.325143,25.334821,20.191576,3.001881,112.938366
269,9.080000,2481.148011,25.483775,20.251536,2.994066,112.723994
270,9.100000,2472.911835,25.631910,20.311339,2.986274,112.438165
271,9.120000,2474.970879,25.779475,20.370987,2.978493,112.509622
272,9.140000,2468.793747,25.926532,20.430479,2.970717,112.295250
273,9.160000,2458.498527,26.072718,20.489816,2.962969,111.937963
274,9.180000,2450.262351,26.217974,20.548998,2.955250,111.652134
275,9.200000,2452.321395,26.362668,20.608026,2.947542,111.723591
276,9.220000,2427.612867,26.506320,20.666900,2.939869,110.866103
277,9.240000,2415.258603,26.648510,20.725621,2.932257,110.437359
278,9.260000,2417.317647,26.790030,20.784190,2.924661,110.508816
279,9.280000,2411.140515,26.931063,20.842608,2.917072,110.294444
280,9.300000,2394.668163,27.071071,20.900874,2.909519,109.722785
281,9.320000,2386.431987,27.209999,20.958989,2.902006,109.436956
282,9.340000,2378.195811,27.348091,21.016954,2.894520,109.151126
283,9.360000,2363.782503,27.485172,21.074770,2.887070,108.650925
284,9.380000,2349.369195,27.621070,21.132437,2.879667,108.150723
285,9.400000,2341.133019,27.755969,21.189957,2.872300,107.864894
286,9.420000,2341.133019,27.890285,21.247330,2.864947,107.864894
287,9.440000,2326.719711,28.023846,21.304555,2.857617,107.364692
288,9.460000,2320.542579,28.156478,21.361635,2.850320,107.150320
289,9.480000,2297.893095,28.287951,21.418568,2.843069,106.364289
290,9.500000,2293.775007,28.418330,21.475358,2.835862,106.221374
291,9.520000,2277.302655,28.547796,21.532003,2.828687,105.649715
292,9.540000,2258.771260,28.675947,21.588506,2.821570,105.006599
293,9.560000,2256.712216,28.803195,21.644866,2.814485,104.935142
294,9.580000,2234.062732,28.929429,21.701086,2.807440,104.149110
295,9.600000,2234.062732,29.054713,21.757164,2.800432,104.149110
296,9.620000,2219.649424,29.179281,21.813103,2.793447,103.648909
297,9.640000,2188.763764,29.302276,21.868903,2.786535,102.577048
298,9.660000,2186.704720,29.424050,21.924565,2.779677,102.505591
299,9.680000,2168.173324,29.544954,21.980090,2.772851,101.862475
300,9.700000,2147.582884,29.664478,22.035480,2.766088,101.147901
301,9.720000,2135.228620,29.782801,22.090734,2.759379,100.719157
302,9.740000,2122.874356,29.900157,22.145855,2.752709,100.290413
303,9.760000,2112.579136,30.016606,22.200843,2.746076,99.933126
304,9.780000,2102.283916,30.132211,22.255699,2.739477,99.575839
305,9.800000,2081.693476,30.246694,22.310423,2.732927,98.861265
306,9.820000,2067.280168,30.359948,22.365016,2.726433,98.361064
307,9.840000,2032.276420,30.471589,22.419481,2.720019,97.146289
308,9.860000,2026.099288,30.581849,22.473818,2.713671,96.931917
309,9.880000,2005.508848,30.691127,22.528028,2.707367,96.217343
310,9.900000,2001.390761,30.799484,22.582113,2.701103,96.074428
311,9.920000,1972.564145,30.906702,22.636073,2.694891,95.074025
312,9.940000,1956.091793,31.012455,22.689909,2.688753,94.502366
313,9.960000,1929.324221,31.116807,22.743624,2.682684,93.573420
314,9.980000,1916.969957,31.219875,22.797217,2.676679,93.144676
315,10.000000,1892.261429,31.321724,22.850691,2.670733,92.287188
316,10.020000,1881.966209,31.422413,22.904047,2.664843,91.929901
