[N02-c-2024-T4-RT]
[Specimen: 1]
[Channel: 1]

[Calculated Data]

Point ID,Time [ms],Force [N],Energy [J],Displacement [mm],Velocity [m/s],Voltage Ch1 [mV]
94,0.114000,7930.051966,2.470786,0.704130,3.751446,69.347264
95,0.116000,7829.124032,2.529896,0.711631,3.750232,68.452790
96,0.118000,7938.702932,2.589020,0.719131,3.749018,69.423933
97,0.120000,8235.719424,2.649647,0.726627,3.747771,72.056241
98,0.122000,8475.062811,2.712265,0.734122,3.746483,74.177422
99,0.124000,8443.342603,2.775638,0.741613,3.745179,73.896302
100,0.126000,8048.281832,2.837392,0.749102,3.743908,70.395076
101,0.128000,7445.597883,2.895391,0.756589,3.742715,65.053791
102,0.130000,6886.168762,2.949023,0.764073,3.741613,60.095851
103,0.132000,6583.384960,2.999414,0.771556,3.740578,57.412430
104,0.134000,6545.897441,3.048519,0.779036,3.739571,57.080197
105,0.136000,6537.246476,3.097437,0.786514,3.738566,57.003528
106,0.138000,6381.529092,3.145729,0.793990,3.737575,55.623483
107,0.140000,6003.770252,3.192014,0.801464,3.736625,52.275596
108,0.142000,5591.407550,3.235336,0.808937,3.735737,48.621032
109,0.144000,5334.762232,3.276149,0.816407,3.734902,46.346513
110,0.146000,5450.108442,3.316425,0.823876,3.734078,47.368769
111,0.148000,5856.703834,3.358640,0.831343,3.733212,50.972220
112,0.150000,6390.180057,3.404354,0.838809,3.732273,55.700152
113,0.152000,6747.753310,3.453382,0.846272,3.731265,58.869144
114,0.154000,6782.357173,3.503859,0.853734,3.730226,59.175821
115,0.156000,6560.315718,3.553624,0.861193,3.729201,57.207979
116,0.158000,6245.997294,3.601375,0.868651,3.728218,54.422332
117,0.160000,6012.421218,3.647071,0.876106,3.727279,52.352265
118,0.162000,5897.075008,3.691456,0.883560,3.726366,51.330009
119,0.164000,5865.354800,3.735282,0.891012,3.725465,51.048889
120,0.166000,5836.518247,3.778871,0.898462,3.724569,50.793325
121,0.168000,5686.568174,3.821785,0.905910,3.723687,49.464393
122,0.170000,5403.969958,3.863078,0.913357,3.722839,46.959867
123,0.172000,5135.790019,3.902312,0.920801,3.722034,44.583122
124,0.174000,5026.211119,3.940131,0.928245,3.721258,43.611979
125,0.176000,5199.230435,3.978179,0.935686,3.720477,45.145363
126,0.178000,5585.640240,4.018299,0.943127,3.719653,48.569919
127,0.180000,6038.374116,4.061531,0.950565,3.718763,52.582272
128,0.182000,6375.761781,4.107690,0.958002,3.717811,55.572370
129,0.184000,6528.595510,4.155659,0.965436,3.716821,56.926859
130,0.186000,6468.038749,4.203959,0.972869,3.715823,56.390174
131,0.188000,6349.808884,4.251582,0.980300,3.714840,55.342362
132,0.190000,6271.950192,4.298464,0.987728,3.713871,54.652340
133,0.192000,6277.717502,4.345065,0.995155,3.712909,54.703453
134,0.194000,6303.670400,4.391773,1.002580,3.711944,54.933460
135,0.196000,6182.556879,4.438115,1.010003,3.710986,53.860092
136,0.198000,5882.656731,4.482883,1.017424,3.710062,51.202227
137,0.200000,5507.781548,4.525138,1.024843,3.709190,47.879897
138,0.202000,5173.277537,4.564752,1.032261,3.708374,44.915355
139,0.204000,4942.585117,4.602261,1.039677,3.707602,42.870844
140,0.206000,4798.402354,4.638373,1.047091,3.706859,41.593025
141,0.208000,4668.637867,4.673463,1.054504,3.706138,40.442987
142,0.210000,4498.502206,4.707435,1.061916,3.705440,38.935160
143,0.212000,4256.275165,4.739872,1.069326,3.704774,36.788423
144,0.214000,3985.211570,4.770402,1.076735,3.704149,34.386123
145,0.216000,3789.123012,4.799198,1.084143,3.703560,32.648288
146,0.218000,3719.915286,4.827006,1.091549,3.702992,32.034935
147,0.220000,3792.006668,4.854820,1.098955,3.702424,32.673845
148,0.222000,3967.909638,4.883548,1.106359,3.701836,34.232784
149,0.224000,4114.976057,4.913467,1.113762,3.701223,35.536160
150,0.226000,4181.300128,4.944171,1.121164,3.700594,36.123957
151,0.228000,4126.510678,4.974912,1.128564,3.699963,35.638386
152,0.230000,4045.768331,5.005147,1.135964,3.699343,34.922807
153,0.232000,4037.117365,5.035046,1.143362,3.698730,34.846138
154,0.234000,4063.070262,5.065004,1.150758,3.698116,35.076145
155,0.236000,4089.023159,5.095148,1.158154,3.697497,35.306153
