[Shared Parameters]

Comment,Charpy Impact, 
Span,40.000,mm

[Shared Data]

Test Name,N02-B-2024-T4-0C,
Instrument,8250,
Operator,N02-B,
Date,10/28/2024 4:56:16 PM,

[Step [1] Data]

Specimen ID,2024-T4,0C,NR 0.05 mm,
Impact Height (Nominal),750.000,mm
Total Mass,12.778,kg
Width,9.470,mm
Thickness,9.530,mm
Start Velocity,3.807,m/s
Start Time,-0.040,ms
Total Time,0.810,ms
Peak Force,9097.932,N
Total Energy,9.594,J

