[Shared Parameters]

Comment,Plate Impact, 76mm support dia, 12.7mm hemispherical tup tip, 

[Shared Data]

Test Name,N02-CD-PMMA-100C,
Instrument,8200,
Operator,N02-CD,
Date,10/28/2024 5:49:14 PM,

[Step [1] Data]

Specimen ID,PMMA-100C,
Impact Height (Nominal),765.000,mm
Total Mass,6.202,kg
Thickness,2.780,mm
Start Velocity,3.853,m/s
Start Time,0.000,ms
Total Time,13.160,ms
Peak Force,3078.368,N
Total Energy,43.921,J

