*
POSN mm 	LOAD kn	CTOD mm
-8.992549	-0.004381	0.000233
-8.988381	-0.003861	0.000129
-8.982129	0.001863	0.000004
-8.976919	-0.002820	0.000129
-8.971709	-0.006463	0.000170
-8.967020	-0.003341	-0.000017
-8.961809	-0.001259	0.000045
-8.955036	-0.001780	0.000254
-8.951910	0.000822	0.000212
-8.946700	-0.003341	0.000170
-8.942011	-0.006983	0.000295
-8.936280	-0.000739	0.000045
-8.930028	0.003424	0.000149
-8.925860	-0.003861	0.000399
-8.921692	0.004985	0.000379
-8.916482	0.001343	0.000233
-8.910751	0.000822	0.000399
-8.905020	0.007066	0.000379
-8.900852	0.005505	0.000254
-8.894600	-0.000739	0.000629
-8.890953	0.009668	0.000233
-8.885222	0.011749	0.000379
-8.879491	-0.001780	0.000462
-8.875323	0.003424	0.000420
-8.871155	0.008627	0.000295
-8.865423	0.000822	0.000337
-8.859171	0.007587	0.000149
-8.855003	0.012790	0.000420
-8.849793	-0.002820	0.000379
-8.845625	0.002903	0.000504
-8.840415	0.011749	0.000379
-8.834163	0.002903	0.000337
-8.829474	0.006546	0.000483
-8.825306	0.011229	0.000483
-8.820096	0.000302	0.000483
-8.814886	0.004465	0.000233
-8.809155	0.010709	0.000420
-8.804987	0.002383	0.000483
-8.799777	0.001343	0.000462
-8.795088	0.012790	0.000316
-8.790399	0.001863	0.000295
-8.785189	0.002903	0.000483
-8.779979	0.011749	0.000670
-8.775290	0.000822	0.000379
-8.769559	0.002903	0.000212
-8.764870	0.016953	0.000462
-8.760701	0.001343	0.000483
-8.754970	-0.002820	0.000545
-8.751323	0.008627	0.000399
-8.745592	0.004465	0.000212
-8.741424	0.009668	0.000254
-8.736214	0.013310	0.000504
-8.731004	0.001863	0.000420
-8.725794	-0.000739	0.000399
-8.721626	0.012790	0.000545
-8.715895	0.006546	0.000462
-8.710685	0.000822	0.000545
-8.704954	0.012790	0.000462
-8.700786	0.004465	0.000379
-8.696097	0.002903	0.000420
-8.690366	0.012270	0.000399
-8.686198	0.008627	0.000504
-8.681509	0.003424	0.000420
-8.676299	0.014871	0.000379
-8.671610	0.011749	0.000420
-8.665878	0.000302	0.000524
-8.661710	0.006546	0.000712
-8.657021	0.009148	0.000379
-8.650769	0.005505	0.000462
-8.646080	0.012790	0.000504
-8.641391	0.008627	0.000545
-8.636702	-0.001780	0.000462
-8.632013	0.006546	0.000566
-8.626803	0.012790	0.000379
-8.621593	0.003944	0.000504
-8.615862	0.009668	0.000462
-8.611694	0.013831	0.000587
-8.607526	0.003424	0.000545
-8.601795	0.009148	0.000545
-8.596064	0.013310	0.000462
-8.592417	0.000822	0.000441
-8.587207	0.008627	0.000712
-8.581997	0.016953	0.000483
-8.576266	0.004465	0.000295
-8.571577	0.008627	0.000483
-8.566366	0.009148	0.000587
-8.561156	0.003944	0.000379
-8.556988	0.008627	0.000504
-8.551257	0.015392	0.000316
-8.546568	0.003944	0.000379
-8.541879	0.000822	0.000545
-8.537190	0.009148	0.000420
-8.531980	0.004465	0.000170
-8.525728	0.007066	0.000545
-8.521560	0.016953	0.000420
-8.517392	0.003424	0.000545
-8.511140	0.002383	0.000483
-8.506451	0.015912	0.000566
-8.502283	0.011229	0.000462
-8.496552	0.006546	0.000629
-8.492905	0.022676	0.000754
-8.488216	0.027880	0.000795
-8.483006	0.037766	0.001212
-8.477796	0.064824	0.001753
-8.471544	0.074190	0.001941
-8.471544	0.079914	0.002128
-8.466334	0.123102	0.002899
-8.463208	0.148599	0.003316
-8.459560	0.154843	0.003920
-8.456955	0.184503	0.004628
-8.451745	0.243822	0.005608
-8.446535	0.287530	0.006628
-8.441325	0.341646	0.008107
-8.436115	0.417095	0.009607
-8.431947	0.485260	0.011066
-8.425695	0.539376	0.012878
-8.419964	0.633037	0.014420
-8.413191	0.739187	0.016545
-8.408502	0.804750	0.018649
-8.403292	0.895810	0.020628
-8.396519	1.012366	0.022711
-8.391309	1.088336	0.024878
-8.385578	1.190843	0.027253
-8.380889	1.294912	0.029503
-8.375679	1.379207	0.031565
-8.370469	1.478072	0.033919
-8.364738	1.582140	0.036253
-8.359527	1.677883	0.038648
-8.354838	1.774146	0.041294
-8.349107	1.886020	0.043815
-8.344418	1.995291	0.046294
-8.338166	2.082188	0.048711
-8.333998	2.198225	0.051585
-8.329830	2.310618	0.054398
-8.323578	2.419890	0.057210
-8.318889	2.525519	0.059794
-8.313158	2.643637	0.062460
-8.308469	2.756031	0.065377
