[N02-CD-PMMA-100C]
[Specimen: 1]
[Channel: 1]

[Calculated Data]

Point ID,Time [ms],Force [N],Energy [J],Displacement [mm],Velocity [m/s],Voltage Ch1 [mV]
96,1.900000,6.214741,0.014968,7.337959,3.871022,216.815341
97,1.920000,6.214741,0.015450,7.415381,3.871198,216.815341
98,1.940000,-4.143160,0.015530,7.492807,3.871391,216.463654
99,1.960000,6.214741,0.015610,7.570237,3.871584,216.815341
100,1.980000,0.000000,0.015851,7.647670,3.871770,216.604329
101,2.000000,4.143160,0.016011,7.725108,3.871959,216.745004
102,2.020000,0.000000,0.016172,7.802549,3.872149,216.604329
103,2.040000,0.000000,0.016172,7.879994,3.872345,216.604329
104,2.060000,12.429481,0.016653,7.957442,3.872521,217.026354
105,2.080000,-14.501060,0.016573,8.034895,3.872720,216.111966
106,2.100000,10.357901,0.016412,8.112351,3.872923,216.956016
107,2.120000,-2.071580,0.016733,8.189811,3.873106,216.533991
108,2.140000,2.071580,0.016733,8.267276,3.873302,216.674666
109,2.160000,14.501061,0.017375,8.344743,3.873472,217.096691
110,2.180000,-16.572640,0.017295,8.422215,3.873671,216.041629
111,2.200000,6.214741,0.016894,8.499690,3.873884,216.815341
112,2.220000,6.214741,0.017375,8.577170,3.874060,216.815341
113,2.240000,10.357901,0.018017,8.654653,3.874229,216.956016
114,2.260000,10.357901,0.018820,8.732139,3.874392,216.956016
115,2.280000,-4.143160,0.019060,8.809629,3.874578,216.463654
116,2.300000,8.286321,0.019221,8.887122,3.874768,216.885679
117,2.320000,2.071580,0.019622,8.964619,3.874947,216.674666
118,2.340000,-10.357900,0.019301,9.042120,3.875157,216.252641
119,2.360000,0.000000,0.018900,9.119625,3.875369,216.604329
120,2.380000,-4.143160,0.018739,9.197135,3.875572,216.463654
121,2.400000,4.143160,0.018739,9.274648,3.875768,216.745004
122,2.420000,-2.071580,0.018820,9.352166,3.875961,216.533991
123,2.440000,-4.143160,0.018579,9.429687,3.876167,216.463654
124,2.460000,-12.429480,0.017936,9.507212,3.876390,216.182304
125,2.480000,-6.214740,0.017214,9.584742,3.876616,216.393316
126,2.500000,0.000000,0.016973,9.662277,3.876823,216.604329
127,2.520000,6.214741,0.017214,9.739815,3.877009,216.815341
128,2.540000,-4.143160,0.017294,9.817357,3.877201,216.463654
129,2.560000,-6.214740,0.016892,9.894903,3.877414,216.393316
130,2.580000,-4.143160,0.016491,9.972454,3.877627,216.463654
131,2.600000,6.214741,0.016571,10.050008,3.877820,216.815341
132,2.620000,-2.071580,0.016732,10.127567,3.878009,216.533991
133,2.640000,2.071580,0.016732,10.205129,3.878205,216.674666
134,2.660000,10.357901,0.017214,10.282695,3.878382,216.956016
135,2.680000,-4.143160,0.017455,10.360264,3.878568,216.463654
136,2.700000,10.357901,0.017696,10.437837,3.878754,216.956016
137,2.720000,8.286321,0.018419,10.515414,3.878920,216.885679
138,2.740000,8.286321,0.019062,10.592994,3.879089,216.885679
139,2.760000,6.214741,0.019624,10.670578,3.879262,216.815341
140,2.780000,-8.286320,0.019544,10.748165,3.879462,216.322979
141,2.800000,-2.071580,0.019142,10.825756,3.879674,216.533991
142,2.820000,6.214741,0.019303,10.903352,3.879864,216.815341
143,2.840000,-8.286320,0.019222,10.980951,3.880063,216.322979
144,2.860000,10.357901,0.019303,11.058554,3.880256,216.956016
145,2.880000,-4.143160,0.019544,11.136161,3.880442,216.463654
146,2.900000,12.429481,0.019866,11.213772,3.880625,217.026354
147,2.920000,0.000000,0.020348,11.291386,3.880801,216.604329
148,2.940000,0.000000,0.020348,11.369004,3.880997,216.604329
149,2.960000,4.143160,0.020509,11.446626,3.881187,216.745004
150,2.980000,-8.286320,0.020348,11.524252,3.881389,216.322979
151,3.000000,-4.143160,0.019865,11.601882,3.881606,216.463654
152,3.020000,10.357901,0.020107,11.679516,3.881792,216.956016
153,3.040000,0.000000,0.020509,11.757153,3.881971,216.604329
154,3.060000,10.357901,0.020911,11.834794,3.882151,216.956016
155,3.080000,8.286321,0.021635,11.912439,3.882317,216.885679
156,3.100000,6.214741,0.022198,11.990087,3.882489,216.815341
157,3.120000,8.286321,0.022761,12.067739,3.882662,216.885679
158,3.140000,0.000000,0.023082,12.145394,3.882845,216.604329
159,3.160000,2.071580,0.023163,12.223053,3.883038,216.674666
160,3.180000,-4.143160,0.023082,12.300715,3.883237,216.463654
161,3.200000,0.000000,0.022922,12.378382,3.883440,216.604329
162,3.220000,6.214741,0.023163,12.456053,3.883626,216.815341
163,3.240000,-10.357900,0.023002,12.533727,3.883829,216.252641
164,3.260000,20.715801,0.023404,12.611406,3.884008,217.307704
165,3.280000,-4.143160,0.024048,12.689088,3.884178,216.463654
166,3.300000,4.143160,0.024048,12.766773,3.884374,216.745004
167,3.320000,-10.357900,0.023807,12.844463,3.884580,216.252641
168,3.340000,2.071580,0.023485,12.922156,3.884790,216.674666
169,3.360000,12.429481,0.024048,12.999854,3.884962,217.026354
170,3.380000,-6.214740,0.024289,13.077555,3.885148,216.393316
171,3.400000,0.000000,0.024048,13.155260,3.885355,216.604329
172,3.420000,2.071580,0.024128,13.232969,3.885547,216.674666
173,3.440000,-8.286320,0.023887,13.310682,3.885754,216.322979
174,3.460000,16.572641,0.024209,13.388399,3.885936,217.167029
175,3.480000,-2.071580,0.024773,13.466119,3.886109,216.533991
176,3.500000,8.286321,0.025014,13.543843,3.886295,216.885679
177,3.520000,-2.071580,0.025256,13.621571,3.886481,216.533991
178,3.540000,-2.071580,0.025095,13.699303,3.886684,216.533991
179,3.560000,14.501061,0.025578,13.777038,3.886860,217.096691
180,3.580000,2.071580,0.026222,13.854777,3.887030,216.674666
181,3.600000,6.214741,0.026544,13.932520,3.887212,216.815341
182,3.620000,6.214741,0.027027,14.010266,3.887388,216.815341
183,3.640000,-8.286320,0.026947,14.088015,3.887588,216.322979
184,3.660000,6.214741,0.026866,14.165769,3.887787,216.815341
185,3.680000,4.143160,0.027269,14.243527,3.887967,216.745004
186,3.700000,0.000000,0.027430,14.321288,3.888156,216.604329
187,3.720000,6.214741,0.027671,14.399053,3.888342,216.815341
188,3.740000,-10.357900,0.027510,14.476822,3.888545,216.252641
189,3.760000,6.214741,0.027349,14.554595,3.888748,216.815341
190,3.780000,-10.357900,0.027188,14.632372,3.888951,216.252641
191,3.800000,4.143160,0.026946,14.710153,3.889157,216.745004
192,3.820000,12.429481,0.027591,14.787938,3.889326,217.026354
193,3.840000,-6.214740,0.027833,14.865726,3.889513,216.393316
194,3.860000,18.644221,0.028316,14.943518,3.889689,217.237366
195,3.880000,-2.071580,0.028961,15.021313,3.889858,216.533991
196,3.900000,10.357901,0.029283,15.099112,3.890041,216.956016
197,3.920000,6.214741,0.029928,15.176915,3.890210,216.815341
198,3.940000,-2.071580,0.030089,15.254721,3.890400,216.533991
199,3.960000,0.000000,0.030008,15.332531,3.890599,216.604329
200,3.980000,-12.429480,0.029525,15.410345,3.890815,216.182304
201,4.000000,14.501061,0.029605,15.488163,3.891008,217.096691
202,4.020000,6.214741,0.030411,15.565985,3.891171,216.815341
203,4.040000,-4.143160,0.030492,15.643810,3.891364,216.463654
204,4.060000,8.286321,0.030653,15.721640,3.891553,216.885679
205,4.080000,-8.286320,0.030653,15.799473,3.891749,216.322979
206,4.100000,14.501061,0.030895,15.877310,3.891935,217.096691
207,4.120000,8.286321,0.031782,15.955150,3.892095,216.885679
208,4.140000,2.071580,0.032185,16.032994,3.892274,216.674666
209,4.160000,2.071580,0.032346,16.110841,3.892464,216.674666
210,4.180000,-6.214740,0.032185,16.188692,3.892666,216.393316
211,4.200000,12.429481,0.032427,16.266547,3.892853,217.026354
212,4.220000,4.143160,0.033072,16.344406,3.893022,216.745004
213,4.240000,-2.071580,0.033153,16.422268,3.893215,216.533991
214,4.260000,10.357901,0.033476,16.500135,3.893398,216.956016
215,4.280000,2.071580,0.033960,16.578004,3.893574,216.674666
216,4.300000,4.143160,0.034201,16.655878,3.893760,216.745004
217,4.320000,8.286321,0.034685,16.733755,3.893936,216.885679
218,4.340000,-6.214740,0.034766,16.811635,3.894129,216.393316
219,4.360000,10.357901,0.034927,16.889520,3.894318,216.956016
220,4.380000,4.143160,0.035492,16.967408,3.894491,216.745004
221,4.400000,6.214741,0.035896,17.045299,3.894670,216.815341
222,4.420000,0.000000,0.036138,17.123195,3.894856,216.604329
223,4.440000,-10.357900,0.035734,17.201094,3.895069,216.252641
224,4.460000,6.214741,0.035573,17.278997,3.895272,216.815341
225,4.480000,2.071580,0.035896,17.356905,3.895455,216.674666
226,4.500000,8.286321,0.036299,17.434816,3.895634,216.885679
227,4.520000,2.071580,0.036703,17.512730,3.895814,216.674666
228,4.540000,-4.143160,0.036622,17.590648,3.896013,216.463654
229,4.560000,8.286321,0.036783,17.668570,3.896203,216.885679
230,4.580000,-6.214740,0.036864,17.746496,3.896395,216.393316
231,4.600000,8.286321,0.036945,17.824426,3.896588,216.885679
232,4.620000,4.143160,0.037429,17.902360,3.896764,216.745004
233,4.640000,-4.143160,0.037429,17.980297,3.896960,216.463654
234,4.660000,16.572641,0.037914,18.058238,3.897136,217.167029
235,4.680000,-8.286320,0.038236,18.136183,3.897319,216.322979
236,4.700000,8.286321,0.038236,18.214131,3.897515,216.885679
237,4.720000,2.071580,0.038640,18.292083,3.897695,216.674666
238,4.740000,4.143160,0.038882,18.370039,3.897881,216.745004
239,4.760000,10.357901,0.039448,18.447998,3.898054,216.956016
240,4.780000,-6.214740,0.039609,18.525961,3.898243,216.393316
241,4.800000,8.286321,0.039690,18.603928,3.898436,216.885679
242,4.820000,8.286321,0.040336,18.681898,3.898605,216.885679
243,4.840000,-10.357900,0.040255,18.759872,3.898805,216.252641
244,4.860000,12.429481,0.040336,18.837850,3.898998,217.026354
245,4.880000,-4.143160,0.040659,18.915832,3.899180,216.463654
