[N02-AB-1045HR-0C]
[Specimen: 1]
[Channel: 1]

[Calculated Data]

Point ID,Time [ms],Force [N],Energy [J],Displacement [mm],Velocity [m/s],Voltage Ch1 [mV]
95,0.188000,13003.751227,6.765432,0.700651,3.638293,110.097083
96,0.190000,12290.660990,6.857436,0.707925,3.636329,104.011501
97,0.192000,11745.697720,6.944819,0.715196,3.634463,99.360731
98,0.194000,11371.760156,7.028818,0.722463,3.632670,96.169512
99,0.196000,11113.772225,7.110481,0.729727,3.630926,93.967817
100,0.198000,10902.164147,7.190401,0.736987,3.629219,92.161933
101,0.200000,10664.467401,7.268653,0.744244,3.627547,90.133406
102,0.202000,10331.112209,7.344798,0.751497,3.625920,87.288520
103,0.204000,9847.022496,7.417947,0.758748,3.624358,83.157251
104,0.206000,9281.768040,7.487263,0.765995,3.622877,78.333314
105,0.208000,8710.716102,7.552436,0.773239,3.621486,73.459901
106,0.210000,8258.512538,7.613879,0.780481,3.620174,69.600751
107,0.212000,7994.727125,7.672708,0.787720,3.618919,67.349581
108,0.214000,7968.638458,7.730468,0.794957,3.617687,67.126938
109,0.216000,8197.638981,7.788943,0.802191,3.616439,69.081250
110,0.218000,8580.272766,7.849608,0.809422,3.615143,72.346685
111,0.220000,9131.033518,7.913624,0.816651,3.613773,77.046931
112,0.222000,9797.743902,7.982014,0.823877,3.612308,82.736703
113,0.224000,10493.441694,8.055296,0.831100,3.610737,88.673856
114,0.226000,11093.481040,8.133222,0.838320,3.609063,93.794650
115,0.228000,11531.190900,8.214856,0.845536,3.607308,97.530109
116,0.230000,11806.571276,8.299021,0.852749,3.605498,99.880232
117,0.232000,11968.900761,8.384721,0.859958,3.603653,101.265568
118,0.234000,12070.356689,8.471328,0.867164,3.601787,102.131403
119,0.236000,12229.787433,8.558829,0.874366,3.599901,103.492000
120,0.238000,12510.965291,8.647869,0.881563,3.597980,105.891600
121,0.240000,12913.890262,8.739321,0.888757,3.596006,109.330201
122,0.242000,13421.169902,8.833995,0.895947,3.593960,113.659375
123,0.244000,13911.057097,8.932196,0.903133,3.591836,117.840120
124,0.246000,14369.058143,9.033742,0.910315,3.589638,121.748746
125,0.248000,14789.375559,9.138377,0.917492,3.587371,125.335776
126,0.250000,15102.439565,9.245575,0.924664,3.585046,128.007495
127,0.252000,15241.579124,9.354324,0.931832,3.582686,129.194926
128,0.254000,15177.806826,9.463271,0.938995,3.580320,128.650687
129,0.256000,14835.755412,9.570694,0.946153,3.577986,125.731587
130,0.258000,14163.247546,9.674420,0.953307,3.575731,119.992338
131,0.260000,13079.118487,9.771804,0.960456,3.573614,110.740275
132,0.262000,11554.380827,9.859813,0.967601,3.571702,97.728014
133,0.264000,9577.439601,9.935274,0.974743,3.570064,80.856604
134,0.266000,7200.472146,9.995162,0.981882,3.568768,60.571331
135,0.268000,4481.453276,10.036849,0.989019,3.567872,37.366957
136,0.270000,1666.775959,10.058784,0.996154,3.567409,13.346225
137,0.272000,-1040.647947,10.061018,1.003289,3.567380,-9.759195
138,0.274000,-3510.375109,10.044781,1.010424,3.567756,-30.836089
139,0.276000,-5629.354633,10.012169,1.017560,3.568493,-48.919668
140,0.278000,-7429.472670,9.965560,1.024698,3.569536,-64.282052
141,0.280000,-8861.450625,9.907398,1.031839,3.570834,-76.502692
142,0.282000,-9904.997313,9.840371,1.038982,3.572325,-85.408422
143,0.284000,-10594.897623,9.767122,1.046128,3.573952,-91.296098
144,0.286000,-10928.252815,9.690180,1.053278,3.575660,-94.140984
145,0.288000,-10768.822071,9.612580,1.060431,3.577381,-92.780387
146,0.290000,-10183.276429,9.537610,1.067587,3.579044,-87.783283
147,0.292000,-9284.666781,9.467919,1.074747,3.580590,-80.114460
148,0.294000,-8261.411279,9.405082,1.081909,3.581986,-71.381897
149,0.296000,-7159.889775,9.349834,1.089075,3.583215,-61.981405
150,0.298000,-6009.089678,9.302641,1.096242,3.584267,-52.160364
151,0.300000,-4727.846245,9.264153,1.103411,3.585129,-41.226107
152,0.302000,-3359.640587,9.235156,1.110582,3.585783,-29.549706
153,0.304000,-1823.307963,9.216570,1.117754,3.586209,-16.438493
154,0.306000,-139.139559,9.209532,1.124927,3.586382,-2.065635
155,0.308000,1594.307439,9.214751,1.132100,3.586288,12.727772
156,0.310000,3321.956956,9.232381,1.139272,3.585922,27.471702
157,0.312000,5014.821583,9.262273,1.146443,3.585288,41.918775
158,0.314000,6649.711394,9.304087,1.153613,3.584393,55.871085
159,0.316000,8142.562906,9.357100,1.160780,3.583252,68.611226
160,0.318000,9351.337819,9.419772,1.167945,3.581900,78.927029
161,0.320000,10160.086502,9.489645,1.175108,3.580389,85.828970
162,0.322000,10629.682512,9.564063,1.182267,3.578778,89.836548
163,0.324000,10754.328366,9.640574,1.189423,3.577121,90.900288
164,0.326000,10571.707696,9.716842,1.196575,3.575468,89.341785
165,0.328000,10093.415464,9.790713,1.203725,3.573867,85.259993
166,0.330000,9275.970558,9.859923,1.210871,3.572368,78.283838
167,0.332000,8217.930166,9.922407,1.218014,3.571015,69.254417
168,0.334000,6872.914435,9.976288,1.225155,3.569851,57.775921
169,0.336000,5156.859882,10.019228,1.232294,3.568928,43.130944
170,0.338000,3200.209842,10.049052,1.239431,3.568292,26.432700
171,0.340000,1188.483727,10.064711,1.246567,3.567967,9.264433
172,0.342000,-744.976386,10.066294,1.253703,3.567952,-7.235905
173,0.344000,-2623.360424,10.054275,1.260840,3.568236,-23.266219
174,0.346000,-4327.820014,10.029469,1.267977,3.568801,-37.812244
175,0.348000,-5829.367748,9.993215,1.275115,3.569617,-50.626599
176,0.350000,-7072.927551,9.947152,1.282255,3.570648,-61.239261
177,0.352000,-8203.436463,9.892595,1.289398,3.571866,-70.887135
178,0.354000,-9191.907076,9.830449,1.296543,3.573250,-79.322840
179,0.356000,-10012.250722,9.761812,1.303691,3.574775,-86.323733
180,0.358000,-10661.568661,9.687891,1.310842,3.576416,-91.865076
181,0.360000,-11163.050820,9.609817,1.317997,3.578148,-96.144773
182,0.362000,-11461.621122,9.528842,1.325155,3.579942,-98.692802
183,0.364000,-11539.887124,9.446477,1.332317,3.581765,-99.360731
184,0.366000,-11305.089119,9.364631,1.339482,3.583576,-97.356942
185,0.368000,-10768.822071,9.285509,1.346651,3.585327,-92.780387
186,0.370000,-9991.959537,9.211058,1.353823,3.586975,-86.150566
187,0.372000,-9067.261221,9.142680,1.360999,3.588489,-78.259100
188,0.374000,-7942.549791,9.081629,1.368177,3.589843,-68.660702
189,0.376000,-6675.800062,9.029144,1.375358,3.591009,-57.850136
190,0.378000,-5298.898182,8.986138,1.382541,3.591968,-46.099520
191,0.380000,-3710.388224,8.953774,1.389725,3.592694,-32.543021
192,0.382000,-2023.321078,8.933174,1.396911,3.593163,-18.145424
193,0.384000,-342.051415,8.924674,1.404098,3.593368,-3.797304
194,0.386000,1284.142174,8.928060,1.411284,3.593314,10.080791
195,0.388000,2701.626425,8.942381,1.418471,3.593021,22.177741
196,0.390000,3916.198820,8.966157,1.425656,3.592522,32.543021
197,0.392000,4930.758100,8.997936,1.432841,3.591847,41.201369
198,0.394000,5727.911820,9.036216,1.440024,3.591031,48.004357
199,0.396000,6261.280127,9.079264,1.447205,3.590110,52.556174
200,0.398000,6556.951688,9.125276,1.454384,3.589125,55.079464
201,0.400000,6693.192506,9.172826,1.461561,3.588105,56.242157
202,0.402000,6719.281173,9.220944,1.468736,3.587073,56.464800
203,0.404000,6591.736578,9.268685,1.475909,3.586049,55.376322
204,0.406000,6281.571312,9.314843,1.483081,3.585059,52.729341
205,0.408000,5800.380340,9.358152,1.490250,3.584131,48.622810
206,0.410000,5203.239735,9.397586,1.497417,3.583287,43.526754
207,0.412000,4397.389793,9.431985,1.504583,3.582554,36.649551
208,0.414000,3420.514143,9.459991,1.511748,3.581961,28.312799
209,0.416000,2269.714046,9.480372,1.518911,3.581534,18.491758
210,0.418000,1118.913948,9.492508,1.526074,3.581288,8.670717
211,0.420000,2.898740,9.496526,1.533236,3.581219,-0.853466
212,0.422000,-1145.002616,9.492436,1.540399,3.581329,-10.649768
213,0.424000,-2316.093899,9.480040,1.547562,3.581620,-20.643976
214,0.426000,-3452.400293,9.459378,1.554726,3.582092,-30.341326
215,0.428000,-4516.238166,9.430830,1.561890,3.582736,-39.420223
216,0.430000,-5475.721371,9.395027,1.569057,3.583539,-47.608547
217,0.432000,-6313.457462,9.352774,1.576225,3.584484,-54.757869
218,0.434000,-6971.471623,9.305147,1.583395,3.585545,-60.373426
219,0.436000,-7371.497854,9.253712,1.590567,3.586690,-63.787289
220,0.438000,-7530.928598,9.200252,1.597741,3.587878,-65.147886
221,0.440000,-7559.916006,9.146099,1.604918,3.589081,-65.395268
222,0.442000,-7493.244967,9.092063,1.612098,3.590281,-64.826291
223,0.444000,-7243.953259,9.039144,1.619280,3.591457,-62.698811
224,0.446000,-6762.762286,8.988832,1.626464,3.592575,-58.592280
225,0.448000,-6136.634273,8.942483,1.633650,3.593606,-53.248842
226,0.450000,-5498.911297,8.900665,1.640838,3.594538,-47.806452
227,0.452000,-4733.643726,8.863879,1.648028,3.595360,-41.275583
228,0.454000,-3808.945411,8.833163,1.655219,3.596050,-33.384117
229,0.456000,-2855.259688,8.809197,1.662412,3.596592,-25.245270
230,0.458000,-1898.675224,8.792098,1.669605,3.596984,-17.081684
231,0.460000,-889.913426,8.782067,1.676800,3.597223,-8.472812
232,0.462000,95.658446,8.779210,1.683994,3.597305,-0.061845
