[N02-CD-HDPE-0C]
[Specimen: 1]
[Channel: 1]

[Calculated Data]

Point ID,Time [ms],Force [N],Energy [J],Displacement [mm],Velocity [m/s],Voltage Ch1 [mV]
92,1.820000,-14.413308,-0.052091,7.462502,4.110223,25.974752
93,1.840000,-12.354264,-0.053191,7.544709,4.110462,26.046210
94,1.860000,-10.295220,-0.054122,7.626920,4.110695,26.117667
95,1.880000,-2.059044,-0.054630,7.709136,4.110911,26.403497
96,1.900000,0.000000,-0.054715,7.791357,4.111110,26.474954
97,1.920000,-10.295220,-0.055138,7.873581,4.111323,26.117667
98,1.940000,-6.177132,-0.055815,7.955810,4.111546,26.260582
99,1.960000,-16.472352,-0.056747,8.038043,4.111778,25.903295
100,1.980000,-6.177132,-0.057678,8.120281,4.112011,26.260582
101,2.000000,-10.295220,-0.058355,8.202523,4.112234,26.117667
102,2.020000,-10.295220,-0.059202,8.284770,4.112463,26.117667
103,2.040000,-2.059044,-0.059710,8.367022,4.112679,26.403497
104,2.060000,-6.177132,-0.060049,8.449277,4.112889,26.260582
105,2.080000,-4.118088,-0.060472,8.531537,4.113101,26.332039
106,2.100000,-6.177132,-0.060896,8.613801,4.113314,26.260582
107,2.120000,-10.295220,-0.061573,8.696070,4.113537,26.117667
108,2.140000,8.236176,-0.061658,8.778343,4.113736,26.760783
109,2.160000,-10.295220,-0.061743,8.860619,4.113936,26.117667
110,2.180000,-4.118088,-0.062336,8.942900,4.114155,26.332039
111,2.200000,4.118088,-0.062336,9.025185,4.114351,26.617869
112,2.220000,-8.236176,-0.062505,9.107474,4.114554,26.189125
113,2.240000,-10.295220,-0.063268,9.189768,4.114780,26.117667
114,2.260000,-2.059044,-0.063776,9.272065,4.114996,26.403497
115,2.280000,-10.295220,-0.064284,9.354368,4.115212,26.117667
116,2.300000,-2.059044,-0.064793,9.436674,4.115428,26.403497
117,2.320000,-8.236176,-0.065216,9.518985,4.115641,26.189125
118,2.340000,-2.059044,-0.065640,9.601300,4.115854,26.403497
119,2.360000,-4.118088,-0.065894,9.683619,4.116060,26.332039
120,2.380000,-6.177132,-0.066318,9.765942,4.116272,26.260582
121,2.400000,-2.059044,-0.066657,9.848270,4.116482,26.403497
122,2.420000,-10.295220,-0.067166,9.930601,4.116698,26.117667
123,2.440000,-14.413308,-0.068183,10.012938,4.116934,25.974752
124,2.460000,-6.177132,-0.069031,10.095279,4.117163,26.260582
125,2.480000,-14.413308,-0.069879,10.177624,4.117392,25.974752
126,2.500000,-10.295220,-0.070896,10.259974,4.117628,26.117667
127,2.520000,-16.472352,-0.071998,10.342329,4.117868,25.903295
128,2.540000,2.059044,-0.072592,10.424689,4.118087,26.546411
129,2.560000,-2.059044,-0.072592,10.507053,4.118283,26.403497
130,2.580000,-4.118088,-0.072846,10.589420,4.118489,26.332039
131,2.600000,-2.059044,-0.073100,10.671792,4.118695,26.403497
132,2.620000,-4.118088,-0.073355,10.754168,4.118902,26.332039
133,2.640000,-10.295220,-0.073949,10.836548,4.119121,26.117667
134,2.660000,2.059044,-0.074288,10.918933,4.119330,26.546411
135,2.680000,-6.177132,-0.074457,11.001322,4.119533,26.260582
136,2.700000,-8.236176,-0.075051,11.083714,4.119752,26.189125
137,2.720000,-2.059044,-0.075475,11.166112,4.119965,26.403497
138,2.740000,-6.177132,-0.075815,11.248513,4.120175,26.260582
139,2.760000,-6.177132,-0.076324,11.330919,4.120391,26.260582
140,2.780000,-10.295220,-0.077003,11.413329,4.120613,26.117667
141,2.800000,-14.413308,-0.078021,11.495743,4.120849,25.974752
142,2.820000,-2.059044,-0.078700,11.578163,4.121072,26.403497
143,2.840000,-8.236176,-0.079124,11.660586,4.121285,26.189125
144,2.860000,-8.236176,-0.079803,11.743014,4.121507,26.189125
145,2.880000,-12.354264,-0.080651,11.825446,4.121737,26.046210
146,2.900000,-10.295220,-0.081585,11.907884,4.121969,26.117667
147,2.920000,-14.413308,-0.082603,11.990325,4.122205,25.974752
148,2.940000,-10.295220,-0.083622,12.072772,4.122441,26.117667
149,2.960000,-2.059044,-0.084131,12.155223,4.122657,26.403497
150,2.980000,2.059044,-0.084131,12.237678,4.122854,26.546411
151,3.000000,-10.295220,-0.084471,12.320137,4.123063,26.117667
152,3.020000,-2.059044,-0.084980,12.402600,4.123279,26.403497
153,3.040000,-10.295220,-0.085490,12.485068,4.123495,26.117667
154,3.060000,-4.118088,-0.086084,12.567540,4.123714,26.332039
155,3.080000,-6.177132,-0.086509,12.650017,4.123927,26.260582
156,3.100000,-10.295220,-0.087188,12.732497,4.124150,26.117667
157,3.120000,-8.236176,-0.087952,12.814983,4.124376,26.189125
158,3.140000,-2.059044,-0.088377,12.897472,4.124589,26.403497
159,3.160000,-10.295220,-0.088886,12.979966,4.124805,26.117667
160,3.180000,-6.177132,-0.089566,13.062465,4.125027,26.260582
161,3.200000,-10.295220,-0.090245,13.144967,4.125250,26.117667
162,3.220000,-8.236176,-0.091010,13.227475,4.125476,26.189125
163,3.240000,-6.177132,-0.091604,13.309986,4.125695,26.260582
164,3.260000,-10.295220,-0.092284,13.392502,4.125918,26.117667
165,3.280000,-4.118088,-0.092879,13.475023,4.126138,26.332039
166,3.300000,-8.236176,-0.093389,13.557548,4.126354,26.189125
167,3.320000,-6.177132,-0.093983,13.640077,4.126573,26.260582
168,3.340000,-8.236176,-0.094578,13.722611,4.126792,26.189125
169,3.360000,-12.354264,-0.095428,13.805149,4.127022,26.046210
170,3.380000,0.000000,-0.095938,13.887692,4.127238,26.474954
171,3.400000,-2.059044,-0.096023,13.970238,4.127437,26.403497
172,3.420000,-2.059044,-0.096193,14.052789,4.127640,26.403497
173,3.440000,-8.236176,-0.096618,14.135344,4.127853,26.189125
174,3.460000,-12.354264,-0.097468,14.217903,4.128082,26.046210
175,3.480000,2.059044,-0.097893,14.300467,4.128295,26.546411
176,3.500000,-12.354264,-0.098318,14.383035,4.128507,26.046210
177,3.520000,-2.059044,-0.098913,14.465608,4.128727,26.403497
178,3.540000,-2.059044,-0.099083,14.548184,4.128930,26.403497
179,3.560000,4.118088,-0.098998,14.630765,4.129122,26.617869
180,3.580000,-10.295220,-0.099253,14.713349,4.129329,26.117667
181,3.600000,-8.236176,-0.100018,14.795938,4.129555,26.189125
182,3.620000,-8.236176,-0.100698,14.878531,4.129777,26.189125
183,3.640000,-10.295220,-0.101464,14.961129,4.130003,26.117667
184,3.660000,-2.059044,-0.101974,15.043731,4.130219,26.403497
185,3.680000,-4.118088,-0.102229,15.126338,4.130425,26.332039
186,3.700000,-4.118088,-0.102569,15.208948,4.130635,26.332039
187,3.720000,0.000000,-0.102739,15.291563,4.130838,26.474954
188,3.740000,-12.354264,-0.103250,15.374182,4.131054,26.046210
189,3.760000,-20.590440,-0.104611,15.456806,4.131303,25.760380
190,3.780000,-4.118088,-0.105631,15.539434,4.131539,26.332039
191,3.800000,-10.295220,-0.106227,15.622067,4.131758,26.117667
192,3.820000,-8.236176,-0.106993,15.704704,4.131984,26.189125
193,3.840000,-6.177132,-0.107588,15.787346,4.132204,26.260582
194,3.860000,-8.236176,-0.108184,15.869992,4.132423,26.189125
195,3.880000,-6.177132,-0.108780,15.952643,4.132642,26.260582
196,3.900000,0.000000,-0.109035,16.035298,4.132848,26.474954
197,3.920000,-10.295220,-0.109460,16.117957,4.133061,26.117667
198,3.940000,-14.413308,-0.110482,16.200621,4.133297,25.974752
199,3.960000,-6.177132,-0.111333,16.283289,4.133526,26.260582
200,3.980000,-8.236176,-0.111928,16.365962,4.133746,26.189125
201,4.000000,-14.413308,-0.112865,16.448639,4.133978,25.974752
202,4.020000,-12.354264,-0.113971,16.531321,4.134218,26.046210
203,4.040000,0.000000,-0.114482,16.614007,4.134434,26.474954
204,4.060000,-10.295220,-0.114908,16.696698,4.134647,26.117667
205,4.080000,-14.413308,-0.115929,16.779394,4.134883,25.974752
206,4.100000,2.059044,-0.116440,16.862093,4.135099,26.546411
207,4.120000,-2.059044,-0.116440,16.944797,4.135295,26.403497
208,4.140000,-6.177132,-0.116781,17.027505,4.135504,26.260582
209,4.160000,-2.059044,-0.117121,17.110217,4.135714,26.403497
210,4.180000,-2.059044,-0.117292,17.192934,4.135916,26.403497
211,4.200000,-4.118088,-0.117547,17.275654,4.136122,26.332039
212,4.220000,-10.295220,-0.118143,17.358379,4.136342,26.117667
213,4.240000,-4.118088,-0.118740,17.441108,4.136561,26.332039
214,4.260000,2.059044,-0.118825,17.523841,4.136761,26.546411
215,4.280000,-8.236176,-0.119080,17.606578,4.136967,26.189125
216,4.300000,-6.177132,-0.119677,17.689320,4.137186,26.260582
217,4.320000,-2.059044,-0.120017,17.772066,4.137396,26.403497
218,4.340000,-8.236176,-0.120443,17.854816,4.137608,26.189125
219,4.360000,-12.354264,-0.121295,17.937570,4.137838,26.046210
220,4.380000,-12.354264,-0.122318,18.020329,4.138074,26.046210
221,4.400000,-4.118088,-0.122999,18.103093,4.138296,26.332039
222,4.420000,-8.236176,-0.123511,18.185861,4.138512,26.189125
223,4.440000,24.708528,-0.122829,18.268633,4.138682,27.332442
224,4.460000,162.664475,-0.115074,18.351406,4.138576,32.120086
225,4.480000,166.782563,-0.101440,18.434174,4.138241,32.263001
226,4.500000,166.782563,-0.087637,18.516935,4.137899,32.263001
227,4.520000,129.719772,-0.075369,18.599690,4.137617,30.976768
228,4.540000,142.074036,-0.064123,18.682440,4.137375,31.405512
229,4.560000,185.313959,-0.050579,18.765184,4.137043,32.906117
230,4.580000,232.671971,-0.033287,18.847920,4.136566,34.549636
231,4.600000,193.550135,-0.015657,18.930647,4.136074,33.191946
232,4.620000,111.188376,-0.003054,19.013365,4.135779,30.333652
233,4.640000,82.361760,0.004951,19.096080,4.135663,29.333249
